TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8535627","Magic","Aetherdrift","Mindspring Merfolk (Borderless)","","335","R","Near Mint","0.35","0.36","1.4100","0.1000","0","0","0.3800",""
"8532772","Magic","Aetherdrift","Molt Tender","","171","U","Near Mint","0.25","0.25","1.4900","0.1800","0","0","0.3500",""
"8529092","Magic","Aetherdrift","Momentum Breaker","","97","U","Near Mint","0.27","0.25","1.4400","0.1300","0","0","0.6000",""
"8547831","Magic","Aetherdrift","Monument to Endurance","","237","R","Near Mint","4.99","5.69","4.3100","3.0000","0","0","6.4300",""
"8547836","Magic","Aetherdrift","Monument to Endurance","","237","R","Near Mint Foil","4.31","5.85","4.7900","3.4800","0","0","6.3700",""
"8547791","Magic","Aetherdrift","Monument to Endurance (Extended Art)","","394","R","Near Mint","4.69","5.49","4.7100","3.4000","0","0","10.1500",""
"8526321","Magic","Aetherdrift","Mountain (0510) (First-Place Foil)","","510","L","Near Mint Foil","1.17","1.60","1.7800","0.4700","0","0","1.0800",""
"8532532","Magic","Aetherdrift","Mu Yanling, Wind Rider","","52","M","Near Mint","0.59","0.57","1.5000","0.1900","2","0","0.5900",""
"8532537","Magic","Aetherdrift","Mu Yanling, Wind Rider","","52","M","Near Mint Foil","0.61","0.64","1.7000","0.3900","1","0","0.6100",""
"8535862","Magic","Aetherdrift","Mu Yanling, Wind Rider (First-Place Foil)","","437","M","Near Mint Foil","7.26","7.30","4.9100","3.6000","2","0","7.2600",""
"8520052","Magic","Aetherdrift","Muraganda Raceway","","257","R","Near Mint","0.98","1.21","1.7600","0.4500","0","0","1.5100",""
"8526331","Magic","Aetherdrift","Muraganda Raceway (0396) (Extended Art)","","396","R","Near Mint","0.90","0.99","1.6500","0.3400","0","0","1.7000",""
"8526351","Magic","Aetherdrift","Muraganda Raceway (0396) (Extended Art)","","396","R","Near Mint Foil","1.34","1.36","2.2600","0.9500","0","0","2.9800",""
"8526326","Magic","Aetherdrift","Muraganda Raceway (0426) (Extended Art)","","426","P","Near Mint Foil","0.74","0.70","1.9100","0.6000","0","0","3.1000",""
"8538503","Magic","Aetherdrift","Nesting Bot","","22","U","Near Mint","0.15","0.15","1.3300","0.0200","0","0","0.3500",""
"8538508","Magic","Aetherdrift","Nesting Bot","","22","U","Near Mint Foil","0.21","0.22","1.3600","0.0500","1","0","0.3500",""
